huc_12,subwatershed_description,rps_slope_mean,rps_elevation_mean,acres,sq_mile,states,huc_2,huc_4,huc_6,huc_8,huc_10,region_description,subregion_description,basin_description,subbasin_description,watershed_description
020501011209,cascade_creek-susquehanna_river,8.9,1406.07,18024.76,28.16,"ny,pa",02,0205,020501,02050101,0205010112,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,middle_susquehanna_river
020501011301,shadigee_creek,6.43,1847.3,11890.19,18.57,pa,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011302,upper_starrucca_creek,6.21,1843.23,13257.26,20.71,pa,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011303,middle_starrucca_creek,9.15,1589.66,8046.1,12.57,pa,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011304,lower_starrucca_creek,9.39,1559.39,15299.67,23.9,"ny,pa",02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011305,canawacta_creek-susquehanna_river,9.34,1428.21,22018.32,34.4,pa,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011306,salt_lick_creek,8.86,1476.66,25327.42,39.57,pa,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011307,trowbridge_creek,8.67,1459.76,10511.63,16.42,"ny,pa",02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011308,mitchell_creek-susquehanna_river,9.18,1385.44,28146.51,43.97,"ny,pa",02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011309,silver_creek,7.76,1610.68,16791.15,26.23,pa,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011310,snake_creek,8.78,1465.82,31185.63,48.72,"ny,pa",02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011311,little_snake_creek,7.48,1469.07,19593.01,30.61,"ny,pa",02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011312,carlin_creek,6.99,1165.3,17830.59,27.86,"ny,pa",02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501011313,park_creek-susquehanna_river,7.24,1268.56,24385.06,38.1,ny,02,0205,020501,02050101,0205010113,mid-atlantic,susquehanna,upper_susquehanna,upper_susquehanna,lower_susquehanna_river
020501020101,fabius_brook-west_branch_tioughnioga_creek,5.4,1436.08,24486.94,38.26,ny,02,0205,020501,02050102,0205010201,mid-atlantic,susquehanna,upper_susquehanna,chenango,east_branch_tioughnioga_river
020501020102,upper_east_branch_tioughnioga_creek,7.24,1626.51,29204.15,45.63,ny,02,0205,020501,02050102,0205010201,mid-atlantic,susquehanna,upper_susquehanna,chenango,east_branch_tioughnioga_river
020501020103,labrador_creek,9.67,1532.98,9067.81,14.16,ny,02,0205,020501,02050102,0205010201,mid-atlantic,susquehanna,upper_susquehanna,chenango,east_branch_tioughnioga_river
020501020104,middle_east_branch_tioughnioga_creek,7.8,1572.6,14392.82,22.48,ny,02,0205,020501,02050102,0205010201,mid-atlantic,susquehanna,upper_susquehanna,chenango,east_branch_tioughnioga_river
020501020105,cheningo_creek,8.67,1571.72,19804.35,30.94,ny,02,0205,020501,02050102,0205010201,mid-atlantic,susquehanna,upper_susquehanna,chenango,east_branch_tioughnioga_river
020501020106,lower_east_branch_tioughnioga_creek,7.18,1535.78,27167.72,42.44,ny,02,0205,020501,02050102,0205010201,mid-atlantic,susquehanna,upper_susquehanna,chenango,east_branch_tioughnioga_river
020501020201,cold_brook,6.94,1613.4,10058.01,15.71,ny,02,0205,020501,02050102,0205010202,mid-atlantic,susquehanna,upper_susquehanna,chenango,west_branch_tioughnioga_river
020501020202,upper_little_york_lake-west_br._tioughnioga_river,5.86,1419.77,22279.08,34.81,ny,02,0205,020501,02050102,0205010202,mid-atlantic,susquehanna,upper_susquehanna,chenango,west_branch_tioughnioga_river
020501020203,factory_creek,6.54,1514.94,10329.42,16.13,ny,02,0205,020501,02050102,0205010202,mid-atlantic,susquehanna,upper_susquehanna,chenango,west_branch_tioughnioga_river
020501020204,otter_creek,4.27,1394.13,9544.27,14.91,ny,02,0205,020501,02050102,0205010202,mid-atlantic,susquehanna,upper_susquehanna,chenango,west_branch_tioughnioga_river
020501020205,dry_creek-west_branch_tioughnioga_river,4.84,1356.77,12199.93,19.06,ny,02,0205,020501,02050102,0205010202,mid-atlantic,susquehanna,upper_susquehanna,chenango,west_branch_tioughnioga_river
020501020301,headwaters_otselic_river,6.7,1676.01,27429.79,42.85,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020302,mud_creek,8.38,1530.47,19524.22,30.5,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020303,upper_otselic_river,6.9,1603.33,36440.7,56.93,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020304,brakel_creek,5.05,1559.06,12115.36,18.93,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020305,middle_otselic_river,5.94,1387.93,31992.71,49.98,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020306,merrill_creek,5.63,1384.25,13654.35,21.33,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020307,lower_otselic_river,5.3,1264.04,24101.82,37.65,ny,02,0205,020501,02050102,0205010203,mid-atlantic,susquehanna,upper_susquehanna,chenango,otselic_river
020501020401,trout_brook,6.89,1573.57,25731.26,40.2,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020402,gridley_creek,8.53,1610.89,10292.31,16.08,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020403,upper_tioughnioga_river,7.34,1398.15,22432.6,35.05,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020404,jennings_creek,5.42,1389.58,9278.57,14.49,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020405,culver_creek-dudley_creek,5.65,1361.73,20350.7,31.79,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020406,middle_tioughnioga_river,5.88,1292.86,16626.22,25.97,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020407,halfway_brook,5.85,1306.26,13914.58,21.74,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020408,lower_tioughnioga_river,6.59,1215.98,16190.54,25.29,ny,02,0205,020501,02050102,0205010204,mid-atlantic,susquehanna,upper_susquehanna,chenango,tioughnioga_river
020501020501,upper_sangerfield_river,5.81,1426.93,21579.6,33.71,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020502,middle_sangerfield_river,5.91,1426.7,10638.39,16.62,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020503,lower_sangerfield_river,5.23,1277.85,7066.1,11.04,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020504,callahan_brook-chenango_river,5.26,1476.58,15688.13,24.51,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020505,payne_brook,5.29,1331.73,17485.85,27.32,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020506,eaton_brook-chenango_river,5.39,1414.36,29027.1,45.35,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020507,south_lebanon_brook-cold_spring_brook,6.84,1516,9740.01,15.21,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020508,crooked_brook-pleasant_brook,7.62,1581.61,15072.63,23.55,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020509,stone_mill_brook-chenango_river,5.71,1380.18,14815.17,23.14,ny,02,0205,020501,02050102,0205010205,mid-atlantic,susquehanna,upper_susquehanna,chenango,upper_chenango_river
020501020601,pleasant_brook,6.6,1513.52,9147.06,14.29,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020602,handsome_brook,6.45,1460.8,15303.12,23.91,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020603,mad_brook-chenango_river,7.54,1423.04,18729.68,29.26,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020604,east_branch_canasawacta_creek,6.53,1622.27,16593.29,25.92,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020605,fly_creek-chenango_river,7.16,1329.39,14844.61,23.19,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020606,canasawacta_creek,5.48,1617.44,23040.67,36,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020607,thompson_creek-chenango_river,6.05,1459.66,12162.84,19,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020608,gilmore_brook-chenango_river,6.26,1419.97,13368.65,20.88,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
020501020609,turner_creek-fly_meadow_creek,4.64,1571.22,18438.53,28.81,ny,02,0205,020501,02050102,0205010206,mid-atlantic,susquehanna,upper_susquehanna,chenango,middle_chenango_river
